WSB#1.PG_128.FIG_1.GRAPH_E,0000,1,17,20,27,32,29,30,19,25,18,20,23,16,17,10,15,10,14,4,4,5,6,5,8,12,5,5,5,8,6
WSB#1.PG_131.FIG_4.GRAPH_A,0000,3,34,57,27,33,38,10,15,10,6,5,5,5,4,2,3,1,2,0,2
WSB#2.PG_131.FIG_4.GRAPH_A,0000,1,5,9,11,6,10,7,11,6,2,5,2,2,4,1,5,1,1,2,3
WSB#3.PG_131.FIG_4.GRAPH_A,0000,1,5,8,5,2,3,3,2,2,0,0,0,1,1,0,0,0,0,0,0
